Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
EUPHORBIA EXSTIPULATA,NA,NA,NA,21.46977297,NA,NA,NA,0.0825,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
EUPHORBIA GLYPTOSPERMA,21.63,NA,NA,12.82051282,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,SLA from Carmona et al. 2021 Sci Adv.,,,,
EUPHORBIA SEGUIERIANA,NA,0.425,NA,18.4,1.6675,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,,
EUPHORBIA SERPYLLIFOLIA,18.085,0.015277778,NA,19.92830341,NA,NA,NA,0.05,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",leafN from Laughlin et al. 2010 Functional Ecology,height from Carmona et al. 2021 Sci Adv,,,
EUPHORBIA SERRULA,NA,NA,NA,20.03182734,NA,NA,NA,0.065,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
EUPHRASIA MINIMA,26.868,0.108,NA,17.10079827,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
EUTHAMIA GRAMINIFOLIA,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA from TRY",,,,
EVOLVULUS SERICEUS,NA,0.165186473,NA,13.12723643,NA,NA,NA,NA,"height, SLA from TRY",,,,,
FALCARIA VULGARIS,NA,1.2613,NA,13.0375,1.8,0.147,216.667,1.15043,"height, RTD, SRL, diam from Lachaise et al. 2020 Oikos",,,,,
FALLOPIA CONVOLVULUS,17.405,0.665041667,NA,32.69538591,NA,0.492615928,422.9333333,NA,"leafN, height, SLA from TRY",SRL from Lachaise et al. 2021 Oikos,RTD from Cahill 2020 ERA,,,
FESTUCA ARUNDINACEA,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,"RootN, depth, RTD, SRL, Diam from groot","leafN, height, SLA from TRY",,,,
FESTUCA HALLERI,13,0.1225,NA,9.9,0.101,NA,NA,0.31,"depth, diam from Hudek et al. 2017 Ecol. Engineer",SLA from Pierce J. Ecol jec1242sa2,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,height from Carmona et al. 2021,,
FESTUCA IDAHOENSIS,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"leafN, SLA from Jardin et al. 2010 J. Biogeo","height, depth from TRY",,,,
FESTUCA OVINA,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
FESTUCA PRATENSIS,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,"RootN, RTD, SRL, Diam from groot","leafN, SLA from Jardine et al. 2010 J. Biogeo",height from TRY,,,
FESTUCA RUBRA,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"RTD, SRL from groot","leafN, height, rootN, SLA, depth,diam from TRY",,,,
FESTUCA RUPICOLA,17.52444444,0.24175,NA,14.17171717,0.6376923,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
FESTUCA VAGINATA,NA,1,NA,17.18213058,NA,NA,NA,NA,"height, SLA from TRY",,,,,
FESTUCA VIVIPARA,13.90714177,0.065,NA,11.02,NA,NA,NA,NA,"leafN from Bjorkman, AD, IH Myers-Smith, SC Elmendorf, S Normand, HJD Thomas, and 86 others (2018) Tundra Trait Team: a database of plant traits spanning the tundra biome. Global Ecology and Biogeography 27(12): 1402-1411.","height, SLA from TRY",,,,
FIMBRISTYLIS DICHOTOMA,14.11303333,0.583333333,NA,5.947566,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,
FIMBRISTYLIS PUBERULA,NA,0.234,NA,18.9983695,NA,NA,NA,NA,"height, SLA, from TRY",,,,,
FRAGARIA VESCA,16.48863464,0.136111111,NA,24.4032544,0.25,0.351086957,312.2441806,0.1112,"RTD, SRL, Diam from groot",depth from Lachiase et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
FRAGARIA VIRIDIS,28.3614838,0.104166667,NA,17.04997,0.32,0.2599583,215,1.136,,,,,,
FUMANA PROCUMBENS,16,0.15,NA,8.22,0.28,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,
GAILLARDIA ARISTATA,NA,0.6096,12.98,22.63,0.4064,0.53,7.43,0.66,SLA and Rdiam from Julie Larson,"height, depth from TRY","rootN, SRL, RTD from Stiblikova et al. 2023 Oikos",,,
GALACTIA MARGINALIS,NA,0.177117117,NA,6.500004464,NA,NA,NA,NA,"height, SLA from TRY",,,,,
GALACTIA REGULARIS,NA,0.388,NA,12.733856,NA,NA,NA,NA,"height, SLA from TRY",,,,,
GALIUM APARINE,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
GALIUM BOREALE,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"RTD, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a",rootN from Stiblikova et al. 2023 Oikos,"leafN, SLA, depth from TRY",,
GALIUM LUCIDUM,26,0.375,NA,40.8,NA,NA,NA,NA,"leafN, SLA from FIFTH database 11258_2010_9753_MOESM1_ESM",height from tRY,,,,
GALIUM MOLLUGO,29.6653889,0.57825,12.06782427,21.5515698,NA,0.105319476,406.1581499,0.264461111,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA from TRY",,,,
GALIUM SAXATILE,25.1,0.175,NA,25.08983957,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
GALIUM VERUM,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,"RootN, RTD, SRL, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
GALIUM VIRGATUM,NA,0.059,NA,20.40142857,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
GAURA COCCINEA,NA,NA,NA,14.93401246,0.47,NA,7.307967,0.345,depth from groot,"SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,,,
GENISTA SCORPIUS,NA,1.5,NA,9.527159544,NA,NA,NA,NA,"height, SLA from TRY",,,,,
GERANIUM DISSECTUM,19.13,0.151,NA,17.86,0.45,0.382010582,207.6012196,0.122766667,"RTD, SRL, Diam from groot","leafN, height, SLA from Jena",depth from Lachiase et al. 2021 Oikos,,,
GERANIUM MOLLE,24,0.296666667,NA,23.20870159,0.53,0.329104478,289.9024475,0.112466667,"RTD, SLR, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,leafN from 11258_2010_9753_MOESM1_ESM,"height, SLA from TRY",,
GERANIUM PUSILLUM,17.47,0.151,NA,26.42,0.59,0.417391304,192.0238007,0.1212,height from Jena,"leafN, SLA from Jena"," RTD, SLR, Diam from groot",depth from ,,
GERANIUM THUNBERGII,20.22039,0.709,NA,27.52,NA,NA,NA,NA,traits form Teisho,,,,,
GEUM CANADENSE,11.97,0.77936,NA,20.2434208,0.1016,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, SLA , depth from TRY",,,,
GEUM TRIFLORUM,14.28333333,0.4572,7.011111111,10.7349,0.1524,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,"height, rootN,depth from TRY",SLA from Laughlin2010,,,
GEUM URBANUM,28.7875525,0.473188889,34.84397167,30.79489215,NA,0.471270718,241.5622602,0.125366667,"leafN, height, rootN, SLA from TRY","RTD, SLA, diam from groot",,,,
GLADIOLUS ILLYRICUS,NA,0.4,NA,12,NA,NA,NA,NA,height from Carmona et al. 2021 Sci Adv,SLA from Pipenbaher et al. 2013 Plant Ecol,,,,
GLECHOMA HEDERACEA,13.09,0.072,15.84806833,21.32,0.14,0.104315255,419.5272801,0.213838095,height from Jena,"leafN, SLA from Jena","RootN, RTD, SLR, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,,
GLOBULARIA VULGARIS,NA,0.2,NA,6.892,NA,NA,NA,NA,"height, SLA from TRY",,,,,
GLYCYRRHIZA LEPIDOTA,38.83,1.2192,NA,15.04672897,0.3048,NA,NA,NA,"leafN, SLA from Carmona et al. 2021 Sci Adv","height, depth from TRY",,,,
GNAPHALIUM SUPINUM,22.46381487,0.0658,28.1,27.00300375,NA,NA,307.39,0.29,SRL from groot,"rootN, diam from Spitzer et al. 2020 New Phytol","leafN, SLA from TRY",height from Carmona et al. 2021 Sci Adv,,
GOODENIA BLACKIANA,NA,0.2,NA,9.626935,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
GOODENIA CYCLOPTERA,NA,0.14,NA,8.635442029,NA,NA,NA,NA,"height, SLA from TRY",,,,,
GOUINIA PARAGUAYENSIS,23.1,0.47,NA,19.71,NA,NA,NA,NA,"leafN, height, SLA from Conti and Diaz 2012 J. Ecol",,,,,
GUTIERREZIA SAROTHRAE,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661,"RTD, SLR, Diam from groot","leafN, height, rootN, SLA from Laughlin2010",depth from TRY,,,
GYMNADENIA CONOPSEA,28.85621237,0.45,NA,19.92759166,0.07,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
GYPSOPHILA PANICULATA,NA,0.85,NA,23.53705566,NA,NA,NA,NA,height from TRY,,,,,
GYPSOPHILA REPENS,12.7,0.14,NA,15.67666667,NA,NA,NA,NA,leafN from Rosbakh et al. 2022 J. Ecol,"height, SLA from TRY",,,,
HARMSIODOXA BLENNODIOIDES,NA,0.19,NA,15.65744425,NA,NA,NA,NA,"height, SLA from TRY",,,,,
HARMSIODOXA BREVIPES,NA,0.4,NA,15.114988,NA,NA,NA,NA,"height, SLA from austraits",,,,,
HEDEOMA HISPIDA,15.5,0.14225,NA,21.38832049,NA,0.15,166,0.22,leafN from Craine et al. 2012 Plant Soil,"RTD, SLR, Diam from groot","height, SLA from TRY",,,
HELIANTHUS ANNUUS,18,NA,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228,"RootN, RTD, SLR, Diam from groot","leafN, SLA, depth from tRY",,,,
HELIANTHUS PAUCIFLORUS,11.69,0.39,NA,9.153001144,1.27,0.19,52,0.36,"RTD, SLR, depth, diam from groot",leafN from Craine et al. 2012 Plant Soil,"height, SLA from TRY",,,
HELICTOTRICHON HOOKERI,NA,NA,NA,19.08259351,0.9,NA,NA,NA,SLA from Carmona et al. Sci Adv,,,,,
HELICTOTRICHON PRATENSE,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"RTD, SLR, Diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
HELICTOTRICHON PUBESCENS,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,"RootN, RTD, SLR, Diam, depth from groot",leafN from Rosbakh et al. 2022 J. Ecol,"height, SLA from TRY",,,
HELICTOTRICHON VERSICOLOR,18.88884001,0.14,6.081157261,11.48996431,NA,NA,77.65999999,NA,"RootN, SRL from groot","leafN, height, SLA from TRY",,,,
HELIOPSIS HELIANTHOIDES,13.384,1.2745,NA,19.34129566,NA,0.155412644,61.30678286,0.38123125,leafN Komastu et al. 2023 EDI,"RTD, SLR, Diam from groot","height, SLA from TRY",,,
HEPATICA NOBILIS,24,0.133014446,NA,27.165,NA,NA,NA,NA,height from Carmona et al. 2021 Sci Adv,leafN from FIFTH 11258_2010_9753_MOESM1_ESM,,,,
HESPEROSTIPA COMATA,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,RTD from Butterfield et al. 2017 Plant Ecol,"rootDiam Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",RootN from groot,"leafN, height, SLA. SRL from Laughlin2010",depth from Tumber,
HETEROPOGON CONTORTUS,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,"RTD, SRL from groot","leafN, height, rootN, SLA, depth, diam from TRY",,,,
HETEROTHECA SUBAXILLARIS,NA,1.8,NA,59.2,NA,NA,NA,NA,height from TRY,,,,,
HETEROTHECA VILLOSA,23.73333333,0.242222222,12.65,16.53696,NA,0.252040816,52.697725,0.2195,"RootN, RTD, SLR, Diam from groot","LeafN, height, SLA from Julie Larson",,,,
HEUCHERA RICHARDSONII,NA,0.28,NA,9.880022444,NA,0.35,91.23542858,0.2062,"RTD, SLR, Diam from groot","height, SLA from TRY",,,,
HIERACIUM PILOSELLA,23.22,NA,7.224859855,18.62857,0.47,0.212738048,100.7034183,0.365217075,"RootN, RTD, SLR, Diam from groot",,,,,
HILARIA JAMESII,21.68723958,0.6096,7.6,13.95707872,0.3048,NA,140.9228,0.056,RootN from groot,"SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,"leafN, height, depth from TRY",,
HIPPOCREPIS COMOSA,29,0.231666667,NA,15.26545455,1.003333,NA,NA,NA,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,
HOFFMANNSEGGIA DREPANOCARPA,NA,NA,NA,16.00833991,NA,NA,12.54713,0.286,"SLA, rootdiam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",SRL from Sevilleta PI,,,,
HOLCUS LANATUS,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"RTD, SRL from groot","leafN, height, rootN, SLA, depth,diam from TRY",,,,
HOLOSTEUM UMBELLATUM,NA,0.161666667,NA,35.26333333,0.24,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"height, SLA from TRY",,,,
HORDEUM MURINUM,31.1,0.405416667,NA,28.1259188,0.1,NA,204.9930273,0.217582152,"Depth, SRL, diam from groot","height, SLA from TRY",,,,
HORDEUM PUSILLUM,26.18,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,"RTD, SRL, diam from groot",leafN from Craine et al. 2012 Plant Soil,"height, SLA, depth from TRY",,,
HYALOSPERMA DEMISSUM,NA,0.03518491,NA,38.104966,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
HYALOSPERMA SEMISTERILE,NA,0.13,NA,13.12453785,NA,NA,NA,NA,"height, SLA from TRY",,,,,
HYDROCOTYLE BONARIENSIS,NA,NA,NA,27.35005333,NA,NA,NA,NA,SLA from TRY,,,,,
HYDROCOTYLE FOVEOLATA,NA,0.13,NA,40.950606,NA,NA,NA,NA,height from Meers et al. 2010 Forest Ecol Manag.,SLA from AusTraits,,,,
HYPERICUM PERFORATUM,26.074,0.544316667,4.659107143,26.51128282,0.08909,0.5284214,465.2968152,0.17892,"RootN, SRL, Diam from groot","height, SLA from TRY",depth from Burton et al. 2017 Funct Ecol,,,
HYPOCHAERIS GLABRA,18.3,0.301666667,NA,40.145,NA,NA,NA,NA,leafN from Komastu et al. 2023 EDI,"height, SLA from TRY",,,,
HYPOCHAERIS RADICATA,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"RootN, RTD, SLR, diam from groot",depth from Lachiase et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
HYPOLAENA FASTIGIATA,5.5,0.5625,NA,2.094693,0.25,NA,2.742290055,NA,"height, SLA, SRL from AusTraits",depth from Tumber-Davila et al. 2022 New Phytol,leafN from TRY,,,
IMPATIENS NOLI-TANGERE,NA,0.658333333,NA,45.38148148,NA,NA,25.74550227,0.553757778,"SRL, Diam from groot","height, SLA from TRY",,,,
ISOETOPSIS GRAMINIFOLIA,NA,0.045,NA,14.44850259,NA,NA,NA,NA,"height, SLA from TRY",,,,,
JACOBAEA VULGARIS,18.1084,1,5.92241,26.66024961,NA,NA,NA,0.2,"leafN, height, rootN, SLA from TRY",Senecio jacobaea,,,,
JUNCUS BUFONIUS,30.38,0.3274,NA,16.59282222,0.1524,0.44,292.3895145,0.090766667,"RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
JUNCUS CONGLOMERATUS,NA,0.878333333,NA,4.906666667,NA,0.210556925,33.97720262,NA,"height, SLA from TRY","RTD, SRL from groot",,,,
JUNCUS EFFUSUS,12.64837681,1.1116225,9.325765248,8.991914828,0.6096,0.202890258,42.24025782,0.56575,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
JUNCUS SQUARROSUS,NA,0.22416667,NA,5.87,0.33,NA,NA,NA,"height, SLA from TRY",,,,,
KALLSTROEMIA PARVIFLORA,NA,NA,NA,25.53063956,NA,NA,NA,0.235,"SLA, diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,
KNAUTIA ARVENSIS,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,"RootN, depth, RTD, SRL, diam from groot","leafN, height, SLA ",,,,
KOELERIA MACRANTHA,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"RootN, RTD, diam from groot","leafN, height, SLA, SRL from Laughlin2010",depth from TRY,,,
KOELERIA MICRATHERA,NA,NA,NA,14.02,NA,NA,NA,NA,SLA from Craine and Townsend 2010 Plant Soil,,,,,
KOELERIA VALLESIANA,14.98597333,0.06,19.775,5.603339544,NA,0.170799038,86.18117333,0.366132113,height from TRY,"rootN, RTD, SRL, diam from groot","leafN, SLA from Illuminati et al. 2022 J Ecol",,,
LACTUCA SERRIOLA,32,0.9375,NA,21.4302,0.825,NA,257.2538462,0.61,"Rdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from groot,SLA from Laughlin2010,leafN from FIFTH database 11258_2010_9753_MOESM1_ESM,SRL from Lachaise et al. 2021 Oikos,height from TRY
LACTUCA TATARICA,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,"RTD, SRL from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
Lagenophora stipitata,NA,0.2225,NA,17.262441,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
LATHYRUS PALUSTRIS,33.6,0.858333333,NA,34.15,NA,NA,NA,NA,"height, SLA from TRY","leafN from Niklas and Cobb 2006 Plant, Cell, Environment",,,,
LATHYRUS PRATENSIS,39.68831026,0.475733333,25.11541,24.99129113,1.18,0.141833333,63.29727228,0.4965,"RTD, SRL, diam from groot","leafN, height, rootN, SLA from TRY",,,,
LATHYRUS VENOSUS,30.13845455,0.3533,NA,18.46365493,NA,0.194444444,46.82957143,0.3725,"RTD, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA from TRY",,,
LEERSIA HEXANDRA,17.321052,1.5,NA,26,NA,NA,NA,NA,"leafN, SLA from Jardin et al. 2010 J. Biogeo",height from AusTraits,,,,
LEONTODON HISPIDUS,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"RootN, RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
LEPIDIUM DENSIFLORUM,46.39666667,0.32,14.21,22.39565455,NA,0.43647638,190.8904667,0.137691667,"RootN, RTD, SRL, diam from groot","leafN, height, SLA from Laughlin2010",,,,
LEPIDOSPERMA CARPHOIDES,5.7,0.5,NA,2.685549,0.28,NA,NA,NA,"height, SLA from Austraits",depth from Tumber-Davila et al. 2022 New Phytol,leafN from TRY,,,
LEPIDOSPERMA CONGESTUM,NA,0.5,NA,2.737,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
LESPEDEZA CAPITATA,19.09948702,0.842,31.172408,12.45020289,0.4572,0.228401178,79.00332954,0.333275,"RootN, RTD, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA, depth from TRY",,,
LESPEDEZA PROCUMBENS,NA,0.248,NA,15.64773251,NA,NA,NA,NA,"SLA from Siefert, A., Fridley, J.D., and Ritchie, M.E. 2014. Community functional responses to soil and climate at multiple spatial scales: when does intraspecific variation matter? PLOS ONE 9: e111189",height from Carmona et al. 2021 Sci Adv,,,,
LEUCANTHEMOPSIS ALPINA,26,0.035,NA,15.775,0.126,NA,NA,0.83,depth from Hudek et al. 2017 Ecol. Engineer,leafN from FIFTH 11258_2010_9753_MOESM1_ESM,diam from Pohl et al. 2011 Annals of Botany,"height, SLA from TRY",,
LEUCANTHEMUM VULGARE,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"RootN, RTD, SRL, Diam from groot","leafN, height, SLA, depth from TRY",,,,
LEVENHOOKIA DUBIA,NA,0.0675,NA,46.78369,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
LIATRIS ASPERA,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,"RootN, RTD, SRL, Diam from groot","height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA from TRY",,,
LIATRIS PUNCTATA,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"leaf N from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","RTD, SRL, Diam from groot, ","height, SLA, depth from TRY",,,
LIATRIS SQUARROSA,22.06384,0.4548,NA,16.33650548,0.67,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,,
LIGUSTICUM MUTELLINA,21.8,0.28,NA,24.9616,0.68,NA,NA,NA,depth from Tumber-Davila et al. 2022 New Phytol,leafN from Rosbakh et al. 2022 J. Ecol,"height, SLA from TRY",,,
LINARIA GENISTIFOLIA,NA,0.4625,NA,13.36,NA,NA,NA,NA,"height, SLA from Carmona et al. 2021 Sci Adv",,,,,
LINARIA VULGARIS,19.85205652,0.609388889,NA,22.52432988,NA,0.521818182,120.6592943,0.1355,"leafN, height, SLA from TRY","RTD, SRL, diam from groot",,,,
LINUM BIENNE,NA,0.279516908,NA,20.94632332,NA,NA,NA,NA,"SLA from Sandel, B., J. D. Corbin, and M. Krupa. 2011. Using plant functional traits to guide restoration: a case study in California coastal grassland. Ecosphere 2(2):art23. doi:10.1890/ES10-00175.1",height from Carmona et al. 2021 Sci Adv,,,,
LINUM CATHARTICUM,20.2751018,0.184833333,NA,29.89038332,0.18,,308.1,,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN, height, SLA from TRY",,,
LINUM MEDIUM,NA,0.328,NA,22.57688088,NA,NA,NA,NA,"height, SLA from TRY",,,,,
LINUM PERENNE,31.9,0.466666667,NA,26.23333333,NA,NA,NA,NA,"leafN from Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106","height, SLA from TRY",,,,
LINUM SULCATUM,23.055,0.458,NA,17.12,NA,NA,NA,NA,leafN from Craine et al. 2012 Plant Soil,height from Carmona et al. 2021 Sci Adv,,,,
LITHOSPERMUM CANESCENS,18.9752,0.282,NA,14.43083537,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a","leafN, SLA from TRY",,,,
LITHOSPERMUM CAROLINIENSE,17.774,0.525833334,NA,12.63662801,NA,NA,NA,NA,"leafN, height, SLA from TRY",,,,,
LITHOSPERMUM INCISUM,26.9,0.2176,NA,12.77,NA,NA,NA,NA,SLA from Craine and Townsend 2010 Plant Soil,"leafN, height from Blumenthal 2020 shortgrass steppe northern mixed",,,,
LOLIUM MULTIFLORUM,29.26878304,0.533,17.31666667,25.47714286,0.2032,0.022,178.6858956,0.26045,"height, SLA, depth from TRY","rootN, RTD, SRL, diam from groot",leafN from Nutnet,,,
LOLIUM PERENNE,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"RTD, SRL from groot","leafN, height, SLA from Jena","rootN, depth, diam from TRY",,,
LOMANDRA MICRANTHA,6.8159292,0.466666667,NA,1.398045,NA,NA,NA,NA,"leafN, height, SLA from austraits",,,,,
LOMANDRA NANA,NA,0.17,NA,5.237313,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
LOMATIUM NUDICAULE,NA,0.1257,NA,13.2,NA,NA,NA,NA,,,,,,
LOTUS CORNICULATUS,32.37274407,0.357339206,21.21401,21.71513633,0.3556,0.12871093,104.3277979,0.351194598,"RTD, SRL, Diam from groot","leafN, height, rootN, SLA, depth, from TRY",,,,
LOTUS GLABER,NA,0.75,NA,25.91,NA,NA,NA,0.71,"SLA and Rdiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder) for Lotus tenuis (synonym)",height from TRY,,,,
