,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,X.1,X.2,X.3,X.4,X.5,X.6,local_lifespan,local_lifeform,functional_group
11941,jilpanger.au,LEPIDOSPERMA CONGESTUM,0.5,0.5,0.5,0.5,0,0,0,NA,0.33825,NA,2.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
11954,cedartrait.us,LESPEDEZA CAPITATA,5.3,9,2.333333333,2.75,-6.25,-2.966666667,-3.283333333,19.09948702,0.842,31.172408,12.25680193,0.4572,0.228401178,79.00332954,0.333275,NA,0.18700225,0.337024703,0.18700225,79.00332954,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, depth, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,PERENNIAL,FORB,LEGUME
12004,sand.us,LESPEDEZA PROCUMBENS,0,0,8,1,1,8,-7,NA,0.25,NA,15.64773251,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from CoREE",,,,,,,PERENNIAL,LEGUME,LEGUME
12006,passogavia.it,LEUCANTHEMOPSIS ALPINA,2.302,1.38,0.844,0.46,-0.92,-1.458,0.538,26.16029667,0.035,NA,15.8,NA,NA,NA,1,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Cerebolini 2010,diam from Pohl 2011,,,,,PERENNIAL,FORB,FORB
12056,allmendb.ch,LEUCANTHEMUM VULGARE,1,0.75,1.375,1.5,0.75,0.375,0.375,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.178238532,205.5962002,0.23427,NA,NA,0.47391085,0.178238532,205.5962002,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,FORB
12076,rhijn.nl,LEUCANTHEMUM VULGARE,6,4,1,1,-3,-5,2,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.178238532,205.5962002,0.23427,NA,NA,0.47391085,0.178238532,205.5962002,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,FORB
12097,paike.ar,LEUCHERIA PURPUREA,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
12119,lygraold.no,LEUCOBRYUM GLAUCUM,0,0,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,NULL,BRYOPHYTE,BRYOPHYTE
12121,jilpanger.au,LEVENHOOKIA DUBIA,0.5,0.5,0.5,0,-0.5,0,-0.5,NA,0.043016318,NA,46.88127028,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
12125,cedartrait.us,LIATRIS ASPERA,8.555555556,13.5,8.428571429,11.8,-1.7,-0.126984127,-1.573015873,12.33641253,0.68,20.498833,18.35069678,NA,0.135313282,193.6403191,0.335858333,103,0.10765675,0.328042296,0.10765675,193.6403191,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Tjoelker 2005,,,,PERENNIAL,FORB,FORB
12187,sand.us,LIATRIS COKERI,7,2,26,14,12,19,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
12197,brookdale.ca,LIATRIS LIGULISTYLIS,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
12203,cdpt_drt.us,LIATRIS PUNCTATA,0.5,0.5,0.5,1,0.5,0,0.5,16.8,0.0925,11.75,11.09,0.3556,0.16753096,118.8077502,0.606825,89.93743921,0.167531,0.732865851,0.167531,118.8077502,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","depth, RTD fine from TRY","RTD, SRL, RMF from groot","rootN, SRL fine from Mueller 2024",,,,PERENNIAL,FORB,FORB
12209,passogavia.it,LIGUSTICUM MUTELLINA,14.5,30,12,46,16,-2.5,18.5,32.12230333,0.28,NA,22.90033333,0.68,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,,PERENNIAL,FORB,FORB
12224,cedartrait.us,LINARIA VULGARIS,2,2,0,0,-2,-2,0,18.34,0.324,NA,22.52432988,0.95,0.521818182,120.6592943,0.1355,120.66,0.52,0.672131148,0.521818182,120.6592943,"leafN, height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",SLA from TRY,"RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,"SRL fine, RTD fine from Stiblikova",,,PERENNIAL,FORB,FORB
12227,scruzh.us,LINUM BIENNE,1.033563767,1.661239833,3.6585366,6.29785905,4.636619217,2.624972833,2.011646384,NA,0.375,NA,21.25700911,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from TRY,SLA from CoREE,,,,,,ANNUAL,FORB,FORB
12260,elvadrt.ee,LINUM CATHARTICUM,0,1,1,1.5,0.5,1,-0.5,20.2751018,0.184833333,NA,30.91750071,0.18,NA,NA,NA,NA,NA,0.148211244,NA,NA,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,,ANNUAL,FORB,FORB
12277,allmendb.ch,LINUM CATHARTICUM,4.583333333,3.25,2.5,2.083333333,-1.166666667,-2.083333333,0.916666666,20.2751018,0.184833333,NA,30.91750071,0.18,NA,NA,NA,NA,NA,0.148211244,NA,NA,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,,ANNUAL,FORB,FORB
12306,allmendo.ch,LINUM CATHARTICUM,5.416666667,6.25,2.083333333,1.666666667,-4.583333333,-3.333333334,-1.249999999,20.2751018,0.184833333,NA,30.91750071,0.18,NA,NA,NA,NA,NA,0.148211244,NA,NA,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,,ANNUAL,FORB,FORB
12329,matador.ca,LINUM RIGIDUM,0.5,0.5,1,1,0.5,0.5,0,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,depth from Tumber-Davila 2022,,,,,,,PERENNIAL,FORB,FORB
12343,ebro.es,LINUM SUFFRUTICOSUM,1.026256,1.372704667,2.264933611,2.0322225,0.659517833,1.238677611,-0.579159778,19.9,0.4,NA,13.83721065,NA,NA,NA,0.18,129.275,NA,0.293431287,NA,129.275,"leafN, height, SLA from TRY",RMF from groot,"diam, SRL fine  from Illuminati 2022",,,,,PERENNIAL,SHRUB,WOODY
12373,brookdale.ca,LITHOSPERMUM CANESCENS,0,0,1,1.666666667,1.666666667,1,0.666666667,18.9752,0.282,NA,14.43083537,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA from TRY",,,,,,PERENNIAL,FORB,FORB
12380,cedarsav.us,LITHOSPERMUM CANESCENS,2.5,0,3,4.333333333,4.333333333,0.5,3.833333333,18.9752,0.282,NA,14.43083537,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA from TRY",,,,,,PERENNIAL,FORB,FORB
12396,cedarsav.us,LITHOSPERMUM CAROLINIENSE,5.5,4.8,0,0,-4.8,-5.5,0.7,17.774,0.406,NA,12.63662801,2,NA,NA,NA,NA,NA,NA,NA,NA,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA from TRY",depth from Tumber-Davila 2022,,,,,PERENNIAL,FORB,FORB
12411,mattheis.ca,LITHOSPERMUM INCISUM,10,1.5,5.5,10,8.5,-4.5,13,26.9,0.093666667,16.25,10.79151546,3.03,0.58125,107.882151,0.2063875,222.5228097,0.162229784,NA,0.58125,107.882151,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x132",depth from groot,"leafN, SLA from Blumenthal 2020","rootN, diam, SRL fine, RTD fine from Mueller 2024",,,,PERENNIAL,FORB,FORB
12422,cdpt_drt.us,LITHOSPERMUM INCISUM,1.75,1.916666667,2.75,2.166666667,0.25,1,-0.75,26.9,0.093666667,16.25,10.79151546,3.03,0.58125,107.882151,0.2063875,222.5228097,0.162229784,NA,0.58125,107.882151,"height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x132",depth from groot,"leafN, SLA from Blumenthal 2020",,,,,PERENNIAL,FORB,FORB
12452,capwhite.us,LOEFLINGIA SQUARROSA,0.5,0.5,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
12459,nnss.us,LOESELIASTRUM SCHOTTII,0.0685167,0.27351615,0.389588286,0.0687285,-0.20478765,0.321071586,-0.525859236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
12471,capmcd.us,LOGFIA ARIZONICA,0,0.5,0.5,0,-0.5,0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
12473,capwhite.us,LOGFIA ARIZONICA,2.428571429,0.833333333,0.928571429,4.7,3.866666667,-1.5,5.366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
12501,scruzl.us,LOLIUM PERENNE,4,1,8.358448867,3.0194805,2.0194805,4.358448867,-2.338968367,19.23,0.4,9.7,18.31,0.254,0.104845371,220.8471095,0.1,65.97407155,0.186794228,0.484061808,0.186794228,220.8471095,"leafN, height, SLA from Jena PI","rootN, depth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",SRL fine fromo Kandlikar 2022,,,,ANNUAL,GRASS,GRASS
12513,scruzm.us,LOLIUM PERENNE,1.1904762,0,3.6458333,1.8181818,1.8181818,2.4553571,-0.6371753,19.23,0.4,9.7,18.31,0.254,0.104845371,220.8471095,0.1,65.97407155,0.186794228,0.484061808,0.186794228,220.8471095,"leafN, height, SLA from Jena PI","rootN, depth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",SRL fine fromo Kandlikar 2022,,,,ANNUAL,GRASS,GRASS
12523,jilpanger.au,LOMANDRA JUNCEA,0.5,0.5,0.5,0,-0.5,0,-0.5,NA,0.42,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,"depth, height from Tumber-Davila 2022",,,,,,,PERENNIAL,FORB,FORB
12529,jilpanger.au,LOMANDRA NANA,0.666666667,0.5,0.5,0.666666667,0.166666667,-0.166666667,0.333333334,NA,0.17,NA,5.237312811,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,FORB,FORB
12545,cowidrt.ca,LOMATIUM UTRICULATUM,5,1.333333333,9.5,3,1.666666667,4.5,-2.833333333,25,NA,NA,9.979276578,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, SLA from CoREE",,,,,,,PERENNIAL,FORB,FORB
12574,allmendo.ch,LOTUS CORNICULATUS,0.75,0.25,0.625,0.375,0.125,-0.125,0.25,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.12871093,104.3277979,0.351194598,NA,0.084566667,0.287780112,0.084566667,104.3277979,"leafN, height, rootN, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,LEGUME
12591,yarradrt.au,LOTUS CORNICULATUS,1.943333333,0.75,2,1,0.25,0.056666667,0.193333333,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.12871093,104.3277979,0.351194598,NA,0.084566667,0.287780112,0.084566667,104.3277979,"leafN, height, rootN, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,LEGUME,LEGUME
12598,allmendb.ch,LOTUS CORNICULATUS,0,1.916666667,0.916666667,1.333333333,-0.583333334,0.916666667,-1.500000001,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.12871093,104.3277979,0.351194598,NA,0.084566667,0.287780112,0.084566667,104.3277979,"leafN, height, rootN, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,FORB,LEGUME
12625,purdue.us,LOTUS CORNICULATUS,36.25,30.5,10,0,-30.5,-26.25,-4.25,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.12871093,104.3277979,0.351194598,NA,0.084566667,0.287780112,0.084566667,104.3277979,"leafN, height, rootN, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",,,,,,PERENNIAL,LEGUME,LEGUME
12658,gmmolar.us,LUPINUS CONCINNUS,0.5,0.5,0,0.5,0,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,LEGUME
12661,cedartrait.us,LUPINUS PERENNIS,2,1.6,0,0,-1.6,-2,0.4,32.9375,0.38,29.52364967,19.49355322,0.32,0.32,64.09193834,0.34,17.10482839,NA,0.38748562,0.32,17.10482839,"leafN, height, SRL fine Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220",SLA from TRY,"rootN, depth, RTD, SRL, diam, RMF from groot",,,,,PERENNIAL,FORB,LEGUME
12686,paike.ar,LUZULA CHILENSIS,2,1.5,2,1.5,0,0,0,11.42,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height from Carmona 2021",,,,,,,PERENNIAL,GRAMINOID,GRAMINOID
12716,lygraint.no,LUZULA MULTIFLORA,1,1,0,0,-1,-1,0,25.54618746,0.2110425,5.237476541,25.53913437,NA,NA,132.06,NA,132.06,NA,NA,NA,132.06,"leafN, height, SLA from TRY","rootN, SRL from groot",SRL fine from Stiblikova,,,,,PERENNIAL,GRAMINOID,GRAMINOID
12724,elvadrt.ee,LUZULA MULTIFLORA,5.666666667,6,2,3,-3,-3.666666667,0.666666667,25.54618746,0.2110425,5.237476541,25.53913437,NA,NA,132.06,NA,132.06,NA,NA,NA,132.06,"leafN, height, SLA from TRY","rootN, SRL from groot",SRL fine from Stiblikova,,,,,PERENNIAL,GRASS,GRAMINOID
12765,lygraint.no,LUZULA PILOSA,2,1,1,0,-1,-1,0,16.9625,0.225,12.5,25.5,NA,NA,NA,0.21,565.6,NA,NA,NA,565.6,"leafN, height, SLA from TRY","rootN, diam, SRL fine from Spitzer 2021",,,,,,PERENNIAL,GRAMINOID,GRAMINOID
12769,nnss.us,LYCIUM PALLIDUM,4.6258503,2.680278,5.1748451,2.779884733,0.099606733,0.5489948,-0.449388067,26.13809524,2.1336,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, depth from TRY",,,,,,,PERENNIAL,SHRUB,WOODY
12779,cdpt_drt.us,LYGODESMIA JUNCEA,1,0.5,1.2,0.55,0.05,0.2,-0.15,NA,0.151,NA,NA,3.709333333,NA,NA,NA,NA,NA,NA,NA,NA,height from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x133,depth from groot,,,,,,PERENNIAL,FORB,FORB
12793,biddulph.ca,LYGODESMIA JUNCEA,0,1,0.75,0,-1,0.75,-1.75,NA,0.151,NA,NA,3.709333333,NA,NA,NA,NA,NA,NA,NA,NA,height from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x133,depth from groot,,,,,,PERENNIAL,FORB,FORB
12802,lygraint.no,LYSIMACHIA EUROPAEA,3,2.5,2,1,-1.5,-1,-0.5,31.15982717,0.031518519,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA from Bjorkman 2018",,,,,,,PERENNIAL,FORB,FORB
12821,cdpt_drt.us,MACHAERANTHERA PINNATIFIDA,0.5,0.5,0.3,0.1,-0.4,-0.2,-0.2,NA,NA,NA,14.18259087,1.335,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Tumber-Davila 2022,,,,,,PERENNIAL,FORB,FORB
12831,sevmixed.us,MACHAERANTHERA PINNATIFIDA,0.833333333,0.5,0.5,0.5,0,-0.333333333,0.333333333,NA,NA,NA,14.18259087,1.335,NA,NA,NA,NA,NA,NA,NA,NA,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from Tumber-Davila 2022,,,,,,PERENNIAL,FORB,FORB
12841,credoj.au,MAIREANA CARNOSA,0.7,0.6,4.8,1.4,0.8,4.1,-3.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,PERENNIAL,SHRUB,WOODY
12884,credom.au,MAIREANA CARNOSA,0.5,0,0.5,0.5,0.5,0,0.5,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,PERENNIAL,SHRUB,WOODY
12908,credom.au,MAIREANA SEDIFOLIA,10.16666667,1,10.25,1,0,0.08333333,-0.08333333,39.14135,1.3,NA,4.952222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from austraits,,,,,,PERENNIAL,SHRUB,WOODY
12931,credoj.au,MAIREANA SEDIFOLIA,1.4,5.375,1.875,3.4,-1.975,0.475,-2.45,39.14135,1.3,NA,4.952222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from austraits,,,,,,PERENNIAL,SHRUB,WOODY
12978,credoj.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5,0,0,0,NA,0.41675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,PERENNIAL,SHRUB,WOODY
12985,credom.au,MAIREANA TRICHOPTERA,0.5,0.5,0.5,0.5,0,0,0,NA,0.41675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,PERENNIAL,SHRUB,WOODY
12996,nnss.us,MALACOTHRIX GLABRATA,0.729655567,1.3735589,1.1655389,1.41346643,0.03990753,0.435883333,-0.395975803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
13032,cobar.au,MEDICAGO LACINIATA,16.66666667,20.66666667,0,0,-20.66666667,-16.66666667,-4,NA,0.05,NA,23.68,0.048,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,SLA from CoREE,depth from Mouheb 2017,,,,,ANNUAL,FORB,LEGUME
13045,esw.ca,MEDICAGO LUPULINA,1,1,2,1.5,0.5,1,-0.5,32.94,0.1,8.5,21.96,0.3048,0.505159575,38.6836264,0.281707971,NA,0.05175,0.2386439,0.05175,38.6836264,"leafN, height, SLA from Jena PI","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x135","depth, RTD fine from TRY","diam, RMF from groot",,,,BOTH,LEGUME,LEGUME
13060,marcdrt.ar,MEDICAGO LUPULINA,2,3,0,0,-3,-2,-1,32.94,0.1,8.5,21.96,0.3048,0.505159575,38.6836264,0.281707971,NA,0.05175,0.2386439,0.05175,38.6836264,"leafN, height, SLA from Jena PI","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x135","depth, RTD fine from TRY","diam, RMF from groot",,,,BIENNIAL,FORB,LEGUME
13063,elvadrt.ee,MEDICAGO LUPULINA,25,21.66666667,7.333333333,3,-18.66666667,-17.66666667,-1.000000003,32.94,0.1,8.5,21.96,0.3048,0.505159575,38.6836264,0.281707971,NA,0.05175,0.2386439,0.05175,38.6836264,"leafN, height, SLA from Jena PI","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x135","depth, RTD fine from TRY","diam, RMF from groot",,,,PERENNIAL,LEGUME,LEGUME
13105,allmendb.ch,MEDICAGO LUPULINA,0,0,1,0.25,0.25,1,-0.75,32.94,0.1,8.5,21.96,0.3048,0.505159575,38.6836264,0.281707971,NA,0.05175,0.2386439,0.05175,38.6836264,"leafN, height, SLA from Jena PI","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x135","depth, RTD fine from TRY","diam, RMF from groot",,,,BIENNIAL,FORB,LEGUME
13111,credom.au,MEDICAGO MINIMA,0.5,0.5,5.75,2,1.5,5.25,-3.75,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.0815,211.5066667,0.3834,NA,0.1565,0.331316983,0.1565,211.5066667,"height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,leafN from CoREE,,,,ANNUAL,FORB,LEGUME
13128,credoj.au,MEDICAGO MINIMA,0.666666667,0.5,8,0,-0.5,7.333333333,-7.833333333,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.0815,211.5066667,0.3834,NA,0.1565,0.331316983,0.1565,211.5066667,"height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,leafN from CoREE,,,,ANNUAL,FORB,LEGUME
13146,kiskun.hu,MEDICAGO MINIMA,0.01,0,0.1,0.01,0.01,0.09,-0.08,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.0815,211.5066667,0.3834,NA,0.1565,0.331316983,0.1565,211.5066667,"height, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,leafN from CoREE,,,,ANNUAL,FORB,LEGUME
13154,scruzl.us,MEDICAGO POLYMORPHA,9.4,2.5,0,0,-2.5,-9.4,6.9,40.93,0.49192,NA,24.3570477,0.3048,NA,NA,NA,271.4317854,NA,0.3125,NA,271.4317854,"height, SLA, depth from TRY",RMF from groot,leafN from CoREE,SRL fine from Kandlikar 2022,,,,ANNUAL,FORB,LEGUME
13191,scruzm.us,MEDICAGO POLYMORPHA,9.4,2.5,0,0,-2.5,-9.4,6.9,40.93,0.49192,NA,24.3570477,0.3048,NA,NA,NA,271.4317854,NA,0.3125,NA,271.4317854,"height, SLA, depth from TRY",RMF from groot,leafN from CoREE,SRL fine from Kandlikar 2022,,,,ANNUAL,FORB,LEGUME
13200,cowidrt.ca,MELICA SUBULATA,9.333333333,19,8.333333333,17.5,-1.5,-1,-0.5,NA,1.00584,NA,NA,0.3048,NA,NA,NA,NA,NA,NA,NA,NA,"height, depth from TRY",,,,,,,PERENNIAL,GRASS,GRASS
13230,falls.au,MELICYTUS DENTATUS,0.5,0.5,0.5,0,-0.5,0,-0.5,12.7811,3,NA,25.06241344,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",leafN from Bjorkman 2018,,,,,,PERENNIAL,SHRUB,WOODY
13240,marcdrt.ar,MELILOTUS OFFICINALIS,8,1,0,1,0,-8,8,43.985,0.493,10.4,27.09343963,1.16,0.380689176,37.95643063,0.29,NA,NA,0.285,0.380689176,37.95643063,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x137","diam, RMF from groot",depth from Tumber-Davila 2022,leafN from Craine 2012,,,,BIENNIAL,FORB,LEGUME
13245,nnss.us,MENTZELIA ASPERA,2.343982057,2.874968975,2.616757683,0.27565495,-2.599314025,0.272775626,-2.872089651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,ANNUAL,FORB,FORB
13270,jilpanger.au,MICROSERIS SCAPIGERA,0.5,0.5,0.5,0.5,0,0,0,NA,0.403333333,NA,35.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,FORB,FORB
13278,jilpanger.au,MILLOTIA MUELLERI,0.5,0.5,0.666666667,0.5,0,0.166666667,-0.166666667,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,height from austraits,,,,,,,ANNUAL,FORB,FORB
13295,jilpanger.au,MILLOTIA TENUIFOLIA,0.5,0.5,0.666666667,0.5,0,0.166666667,-0.166666667,NA,0.09875,NA,36.25338489,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,ANNUAL,FORB,FORB
13309,kiskun.hu,MINUARTIA GLOMERATA,0.75,2,0.2,0.07,-1.93,-0.55,-1.38,NA,0.15,NA,11.1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from Halassy 2019",,,,,,,ANNUAL,FORB,FORB
13317,milparinka.au,MINURIA DENTICULATA,3,3,0,0,-3,-3,0,NA,0.15,NA,10.12839779,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from TRY",,,,,,,PERENNIAL,FORB,FORB
13319,lygraint.no,MOLINIA CAERULEA,1,1,1,6,5,0,5,19.7245873,0.699125,8.366751778,18.72981174,0.8,NA,56.8752851,0.269333333,NA,NA,0.41125,NA,56.8752851,"leafN, height, SLA from TRY","rootN, depth, SRL, diam, RMF from groot",,,,,,PERENNIAL,GRASS,GRASS
13328,lygraold.no,MOLINIA CAERULEA,6,6,8,1.5,-4.5,2,-6.5,19.7245873,0.699125,8.366751778,18.72981174,0.8,NA,56.8752851,0.269333333,NA,NA,0.41125,NA,56.8752851,"leafN, height, SLA from TRY","rootN, depth, SRL, diam, RMF from groot",,,,,,PERENNIAL,GRASS,GRASS
