,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,,,,,,
1063,ukulingadrt.za,HELICHRYSUM NUDIFOLIUM,1,0,0,4,4,-1,5,,,,,,,,,,,,,,,,,,,,
8,ebro.es,HELICHRYSUM STOECHAS,0.027052667,0.109083334,0.0281435,0.2258025,0.116719166,0.001090833,0.115628333,15.1,0.4,,14.05029913,,0.652701216,6.114890701,0.49195,,0.652701216,0.207900208,0.652701216,6.114890701,"leafN, height, SLA, RTD fine from TRY","RTD, SRL, diam, RMF from groot",,,,,
1072,biddulph.ca,HELICTOTRICHON HOOKERI,0,0,5,5,5,5,0,,0.3,,19.08259351,0.9,,,,,,,,,"height, depth from Tumber-Davila 2022",SLA from CoREE,,,,,
537,allmendb.ch,HELICTOTRICHON PRATENSE,2.666666667,2.75,2.75,4.25,1.5,0.083333333,1.416666667,16.4,0.816666667,,12.4325,0.79,0.669747899,85.98480816,0.1543,,,0.507531133,0.669747899,85.98480816,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
608,allmendo.ch,HELICTOTRICHON PRATENSE,1.75,3.833333333,1.083333333,3.75,-0.083333333,-0.666666667,0.583333334,16.4,0.816666667,,12.4325,0.79,0.669747899,85.98480816,0.1543,,,0.507531133,0.669747899,85.98480816,"leafN, height, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
730,elvadrt.ee,HELICTOTRICHON PUBESCENS,4,7.5,1.333333333,1.5,-6,-2.666666667,-3.333333333,22.96361562,0.680625,7.892636683,18.24085078,0.3,0.090296815,62.86954053,0.161264502,,,0.652943118,0.090296815,62.86954053,"height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",leafN from CoREE,,,,
782,brookdale.ca,HELIOPSIS HELIANTHOIDES,16.875,11,0,2,-9,-16.875,7.875,30.95,1.2745,,19.34129566,,0.155412644,61.30678286,0.38123125,,0.14770625,0.268602939,0.14770625,61.30678286,"height, SLA,RTD fine from TRY","RTD, SRL, diam, RMF from groot",leafN from Craine 2012,,,,
35,ebro.es,HERNIARIA FRUTICOSA,0.589631778,0.464549556,0.857831333,0.613775556,0.149226,0.268199555,-0.118973555,,0.05,,,,,,,,,,,,height from Carmona 2021,,,,,,
780,cdpt_drt.us,HESPEROSTIPA COMATA,13.66666667,10.83333333,10.16666667,15.5,4.66666667,-3.5,8.16666667,16.5,0.25,5.78,15.33,1.353301654,0.380337995,40.72791888,0.3829,,,0.475,0.380337995,40.72791888,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x119",RMF from groot,depth from Tumber-Davila 2022,,,
863,mattheis.ca,HESPEROSTIPA COMATA,16,21.25,20,21,-0.25,4,-4.25,16.5,0.25,5.78,15.33,1.353301654,0.380337995,40.72791888,0.3829,,,0.475,0.380337995,40.72791888,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x119",RMF from groot,depth from Tumber-Davila 2022,,,
752,ukulingadrt.za,HETEROPOGON CONTORTUS,11.5,9,0,6,-3,-11.5,8.5,11.22375,0.21336,4.15,9.881422925,0.254,0.62,,0.25,,,0.29,0.62,,"leafN, height, rootN, SLA, depth, diam from TRY","RTD, RMF from groot",,,,,
559,ukulingadrt.za,HIBISCUS AETHIOPICUS,1.666666667,3,4.666666667,4.666666667,1.666666667,3,-1.333333333,,,,,,,,,,,,,,,,,,,,
720,sevmixed.us,HILARIA JAMESII,5.4,6.925,3.314285714,0.85,-6.075,-2.085714286,-3.989285714,21.68723958,0.6096,7.6,13.95707872,0.3048,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","leafN, height, depth from TRY",rootN from groot,,,,
625,allmendo.ch,HIPPOCREPIS COMOSA,6.666666667,4.166666667,5.333333333,2.833333333,-1.333333334,-1.333333334,4.44E-16,29.42772,0.231666667,,15.316,0.9375,,,,,,,,,"height, SLA from TRY",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,
685,allmendb.ch,HIPPOCREPIS COMOSA,7.5,5.833333333,12.5,10.41666667,4.583333337,5,-0.416666663,29.42772,0.231666667,,15.316,0.9375,,,,,,,,,"height, SLA from TRY",leafN from Cerebolini 2010,depth from Tumber-Davila 2022,,,,
62,sevblack.us,HOFFMANNSEGGIA DREPANOCARPA,0.5,0.5,0.5,0.5,0,0,0,,,,16.00833991,,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,,
158,sevmixed.us,HOFFMANNSEGGIA DREPANOCARPA,1,0.5,0,0,-0.5,-1,0.5,,,,16.00833991,,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,,
412,chacra.ar,HOFFMANNSEGGIA TRIFOLIATA,1.5,1.5,0,0,-1.5,-1.5,0,,,,,,,,,,,,,,,,,,,,
547,scruzh.us,HOLCUS LANATUS,1.868274733,2.909544633,13.7898687,14.5281933,11.61864867,11.92159397,-0.3029453,24.56210683,0.554013615,9.716666667,33.19474226,0.1016,0.210999112,311.996707,0.116666667,,0.204186017,0.439309966,0.204186017,311.996707,"leafN, height, rootN, SLA, dpeth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,
656,rhijn.nl,HOLCUS LANATUS,5.333333333,5,8.4,6.666666667,1.666666667,3.066666667,-1.4,24.56210683,0.554013615,9.716666667,33.19474226,0.1016,0.210999112,311.996707,0.116666667,,0.204186017,0.439309966,0.204186017,311.996707,"leafN, height, rootN, SLA, dpeth, diam, RTD fine from TRY","RTD, SRL, RMF from groot",,,,,
1,kiskun.hu,HOLOSTEUM UMBELLATUM,0.01,0.01,0.702,0.04,0.03,0.692,-0.662,,0.161666667,,35.26333333,0.24,,,,,,,,,"height, SLA from TRY",depth from Tumber-Davila 2022,,,,,
1009,esw.ca,HOLOSTEUM UMBELLATUM,0,0,1,1,1,1,0,,0.161666667,,35.26333333,0.24,,,,,,,,,"height, SLA from TRY",depth from Tumber-Davila 2022,,,,,
771,cobar.au,HORDEUM MURINUM,3,10,0,0,-10,-3,-7,40.88594333,0.405416667,,28.79435074,0.1,,204.9930273,0.217582152,60.91877157,0.085216667,0.309255778,0.085216667,204.9930273,"height, SLA from TRY","depth, SRL, diam, RMF from groot",leafN from Cerebolini 2010,SRL fine from Kandlikar 2022,RTD from Aoyama 2023,,
425,marcdrt.ar,HORDEUM PUSILLUM,2.333333333,1.666666667,1.5,1,-0.666666667,-0.833333333,0.166666666,25.3788,0.36576,,32.4,0.2032,0.278984039,157.1579379,0.1830875,157.16,0.278984,0.46335377,0.278984,157.1579379,leafN Nippert and Donnelly Konza,"height, SLA, depth, RTD fine from TRY","RTD, SRL, diam, RMF from groot",SRL fine from Tucker 2010,,,
65,jilpanger.au,HYALOSPERMA DEMISSUM,0.5,0.5,0.7,0.5,0,0.2,-0.2,,0.035184911,,37.96275255,,,,,,,,,,"height, SLA from austraits",,,,,,
898,cobar.au,HYALOSPERMA SEMISTERILE,43.33333333,35,0,0,-35,-43.33333333,8.33333333,,0.13,,13.02510508,,,,,,,,,,"height, SLA from TRY",,,,,,
428,marcdrt.ar,HYDROCOTYLE BONARIENSIS,1,1.666666667,1.5,2.333333333,0.666666666,0.5,0.166666666,,,,27.35005333,,,,,,,,,,SLA from TRY,,,,,,
52,jilpanger.au,HYDROCOTYLE FOVEOLATA,0.5,0.5,0.5,0.5,0,0,0,,0.096,,40.9506058,,,,,,,,,,"height, SLA from austraits",,,,,,
870,lygraold.no,HYLOCOMIUM SPLENDENS,23.33333333,23.66666667,17.33333333,40,16.33333333,-6,22.33333333,8,0.05,,,0.05,,,,,,,,,"leafN, height, depth from TRY",,,,,,
905,lygraint.no,HYLOCOMIUM SPLENDENS,27.33333333,40.5,7.666666667,27.33333333,-13.16666667,-19.66666666,6.499999993,8,0.05,,,0.05,,,,,,,,,"leafN, height, depth from TRY",,,,,,
916,lygraint.no,HYPNUM JUTLANDICUM,55,51.66666667,45.33333333,37,-14.66666667,-9.66666667,-5,,,,,,,,,,,,,,,,,,,,
919,lygraold.no,HYPNUM JUTLANDICUM,55,53.33333333,53.33333333,45,-8.33333333,-1.66666667,-6.66666666,,,,,,,,,,,,,,,,,,,,
70,jilpanger.au,HYPOCHAERIS GLABRA,0.7,0.5,0.5,0.5,0,-0.2,0.2,16.375,0.301666667,,43.23142857,,,,1.963333333,,,0.24,,,"height, SLA, RMF from TRY",diam from austraits,leafN from CoREE,,,,
185,falls.au,HYPOCHAERIS RADICATA,0.666666667,0.666666667,0.9,0.833333333,0.166666666,0.233333333,-0.066666667,17.75,0.3505,5.956457605,28.79050968,0.5475,0.14089564,151.7703194,0.261638779,,,0.455750199,0.14089564,151.7703194,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",,,,,
290,spvdrt.ar,HYPOCHAERIS RADICATA,1,1,2.666666667,3,2,1.666666667,0.333333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.14089564,151.7703194,0.261638779,,,0.455750199,0.14089564,151.7703194,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",,,,,
431,charleville.au,HYPOCHAERIS RADICATA,2,1.666666667,0,0,-1.666666667,-2,0.333333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.14089564,151.7703194,0.261638779,,,0.455750199,0.14089564,151.7703194,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",,,,,
736,yarradrt.au,HYPOCHAERIS RADICATA,14.565,7.966666667,1,1,-6.966666667,-13.565,6.598333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.14089564,151.7703194,0.261638779,,,0.455750199,0.14089564,151.7703194,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",,,,,
999,baddrt.de,HYPOCHAERIS RADICATA,0,0,0.2,1,1,0.2,0.8,17.75,0.3505,5.956457605,28.79050968,0.5475,0.14089564,151.7703194,0.261638779,,,0.455750199,0.14089564,151.7703194,"leafN, height, SLA from TRY","rootN, depth, RTD, SRL, diam, RMF from groot",,,,,
79,jilpanger.au,HYPOLAENA FASTIGIATA,0,0.5,0.5,0.5,0,0.5,-0.5,5.5,0.458333333,,2.094693443,0.25,,2.742290055,,,,,,,leafN from TRY,"height, SLA, SRL from austraits",depth from Tumber-Davila 2022,,,,
1077,ukulingadrt.za,HYPOXIS FILIFORMIS,0,0,3.25,6,6,3.25,2.75,,,,,,,,,,,,,,,,,,,,
563,ukulingadrt.za,INDIGOFERA HILARIS,1,3,5,15,12,4,8,,,,,,,,,,,,,,,,,,,,
647,sand.us,IONACTIS LINARIIFOLIA,10,5,0,1,-4,-10,6,,,,,,,,,,,,,,,,,,,,
968,credom.au,ISOETOPSIS GRAMINIFOLIA,0,0,0.5,0.5,0.5,0.5,0,,0.045,,13.53831542,,,,,,,,,,"height, SLA from TRY",,,,,,
123,jilpanger.au,ISOLEPIS MARGINATA,0.5,0.5,0.5,0,-0.5,0,-0.5,,0.0736,,,,,,,,,,,,height from austraits,,,,,,
314,rhijn.nl,JACOBAEA VULGARIS,1,1,2,0,-1,1,-2,18.1084,1,5.92241,26.84719748,,,,,,,,,,"leafN, height, rootN, SLA from TRY",,,,,,
141,jilpanger.au,JUNCUS BUFONIUS,0.5,0.5,0,0,-0.5,-0.5,0,30.38,0.3274,,19.02613008,0.1524,0.44,292.3895145,0.090766667,228.698,,0.594594595,0.44,292.3895145,"leafN, height, SLA, depth from TRY","RTD, SRL, diam, RMF from groot",SRL fine from Ye 2024,,,,
910,teshio.jp,JUNCUS EFFUSUS,2,45,3,8,-37,1,-38,10.75127,0.664285714,9.325765248,6.765762036,0.6096,0.202890258,42.24025782,0.56575,117.1474667,0.202890258,0.503566667,0.202890258,117.1474667,"leafN, height, SLA, RTD fine, RMF from Teshio PI","depth, SRL fine from TRY","rootN, RTD, SRL, diam from groot",,,,
364,marcdrt.ar,JUNCUS IMBRICATUS,1.333333333,1.25,1,2,0.75,-0.333333333,1.083333333,,,,,,,,,,,,,,,,,,,,
491,marcdrt.ar,JUNCUS MICROCEPHALUS,0,2,1.5,0,-2,1.5,-3.5,,,,,,,,,,,,,,,,,,,,
341,lygraold.no,JUNCUS SQUARROSUS,2,1,1,0,-1,-1,0,12.367,0.224166667,,5.87,0.33,,,,,,0.3825,,,"leafN, height, SLA from TRY",RMF from groot,depth from Tumber-Davila 2022,,,,
248,paike.ar,JUNELLIA ODONELLII,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
313,lygraold.no,JUNIPERUS COMMUNIS,1,1,2,0,-1,1,-2,11.83275055,4.953888889,6.475833557,9.641628751,0.3556,0.6,5.55,0.4478375,15.83290415,0.438157205,0.265,0.6,5.55,"leafN, height, Sla, depth from TRY","rootN, RTD, SRL, RMF from groot","diam, SRL fine, RMF fine from Weemstra 2021",,,,
190,ebro.es,JUNIPERUS PHOENICEA,0.042760667,0.70686,0,0.623084,-0.083776,-0.042760667,-0.041015333,8.407,2.943518519,,5.437737901,2.5,0.625121324,8.033595128,0.5192,8.034,0.625121324,,0.625121324,8.033595128,"leafN, SLA, RTD fine from TRY","depth, RTD, SRL, diam from groot",height from Carmona 2021,RTD fine from de la Riva 2021,,,
146,sevblack.us,KALLSTROEMIA PARVIFLORA,0.5,0.5,0,0,-0.5,-0.5,0,,,,25.53063956,,,,,,,,,,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,,,,,
454,matador.ca,KOELERIA MACRANTHA,1.25,2,1.833333333,2.5,0.5,0.583333333,-0.083333333,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
797,mattheis.ca,KOELERIA MACRANTHA,5.5,12.33333333,23.75,10,-2.33333333,18.25,-20.58333333,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
813,cdpt_drt.us,KOELERIA MACRANTHA,0,14,10,12,-2,10,-12,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
1001,biddulph.ca,KOELERIA MACRANTHA,0,0,0.75,1,1,0.75,0.25,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
1075,hard.us,KOELERIA MACRANTHA,0,0,5.5,5.5,5.5,5.5,0,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
1080,konzadrt.us,KOELERIA MACRANTHA,0,0,6,8.6,8.6,6,2.6,15.4,0.136,7.325,20.12,0.508,0.684089096,154.286624,0.26642,,0.405508934,0.522549003,0.405508934,154.286624,"leafN, height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x125","depth, RTD fine from TRY",RMF from groot,,,
523,cedartrait.us,KOELERIA MICRATHERA,2,2.5,5,4,1.5,3,-1.5,,,,,,,,,,,,,,,,,,,,
742,matador.ca,KRASCHENINNIKOVIA LANATA,1.5,8,5.333333333,21,13,3.833333333,9.166666667,24.4,0.2,21.33333333,11.20220464,0.3048,0.587798829,6.495339737,0.2343,53.58853734,0.474203731,,0.587798829,6.495339737,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).","height, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x126","leafN, depth from TRY","rooN, diam, SRL fine, RTD fine from Mueller 2024",,,
170,yarradrt.au,KYLLINGA ODORATA,0.3,0.55,1.5,1.25,0.7,1.2,-0.5,,,,,,,,,,,,,,,,,,,,
1058,naposta.ar,LACTUCA SERRIOLA,0,0,5,3,3,5,-2,31.93113667,0.4225,,31.04,0.825,,20.84656652,0.61405,177.0021698,0.029929167,0.2154304,0.029929167,177.0021698,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).",depth from groot,leafN from Cerebolini 2010,SRL fine from Kandlikar 2022,"SRL, RTD fine, RMF from Aoyama 2023",,
449,kernb.ca,LACTUCA TATARICA,0.5,2,2,1.25,-0.75,1.5,-2.25,22.6,0.441428571,7.133333333,6.176234778,2.4,0.361348618,27.48041934,0.336325,,0.213227444,,0.213227444,27.48041934,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x128","leafN, RTD fine from TRY",diam from groot,depth from Tumber-Davila 2022,,,
834,cerrillos.ar,LARREA DIVARICATA,36.04333333,17.08666667,32.29333333,19.50333333,2.41666666,-3.75,6.16666666,22.9,1.67,,5.881206897,,,,,,,,,,"leafN, SLA from TRY",height from Conti 2013,,,,,
809,nnss.us,LARREA TRIDENTATA,15.55434442,13.27009487,13.51947492,10.55421877,-2.7158761,-2.0348695,-0.6810066,20.22556818,2.2235,,10.4929565,2.4,,45.247608,0.423,,,0.230056645,,45.247608,"SLA from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",leafN from TRY,"depth, SRL, RMF from groot",height from CoREE,diam from Collier 2003,,
711,marcdrt.ar,LATHYRUS CRASSIPES,2,6.666666667,7,1,-5.666666667,5,-10.66666667,,,,,,,,,,,,,,,,,,,,
1046,brookdale.ca,LATHYRUS OCHROLEUCUS,0,0,2.5,2.083333333,2.083333333,2.5,-0.416666667,32.9,0.237857143,21.65714286,18.74276422,,0.098204363,2.49723027,,,,,0.098204363,2.49723027,"height, rootN, SLA, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x128",leafN from TRY,,,,,
663,brookdale.ca,LATHYRUS PALUSTRIS,5,5,0,0,-5,-5,0,33.6,0.858333333,,34.15,,,,,,,,,,"height, SLA from TRY",leafN from Niklas 2006,,,,,
560,elvadrt.ee,LATHYRUS PRATENSIS,3,3,20,5,2,17,-15,39.68831026,0.475733333,25.11541,24.65295817,1.18,0.141833333,63.29727228,0.4965,,,0.386653858,0.141833333,63.29727228,"leafN, height, rootN, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
996,rhijn.nl,LATHYRUS PRATENSIS,4,0,0,1,1,-4,5,39.68831026,0.475733333,25.11541,24.65295817,1.18,0.141833333,63.29727228,0.4965,,,0.386653858,0.141833333,63.29727228,"leafN, height, rootN, SLA from TRY","RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
652,cowidrt.ca,LATHYRUS SPHAERICUS,7,5,2,1.5,-3.5,-5,1.5,,0.275,,27.29537034,,,,,,,,,,SLA from Hodgson 2023,height from CoREE,,,,,
638,cedarsav.us,LATHYRUS VENOSUS,4.9,4.75,5,4.5,-0.25,0.1,-0.35,32.92,0.353333333,23.9,15.05571843,,0.194444444,46.82957143,0.3725,,0.194444444,,0.194444444,,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","rootN, SLA from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x130","leafN, RTD fine from TRY","RTD, SRL, diam from groot",,,
802,brokenh.au,LEMOORIA BURKITTII,3,12.5,0,0,-12.5,-3,-9.5,,0.05,,,,,,,,,,,,height from austraits,,,,,,
128,allmendo.ch,LEONTODON HISPIDUS,0.5,0.5,0,0,-0.5,-0.5,0,23.92644618,0.371,11.53789754,24.61213746,0.3,0.134462153,204.9072943,0.273284146,,,0.41640885,0.134462153,204.9072943,"leafN, height, SLA from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
680,elvadrt.ee,LEONTODON HISPIDUS,13.33333333,5.666666667,6.333333333,4,-1.666666667,-6.999999997,5.33333333,23.92644618,0.371,11.53789754,24.61213746,0.3,0.134462153,204.9072943,0.273284146,,,0.41640885,0.134462153,204.9072943,"leafN, height, SLA from TRY","rootN, RTD, SRL, diam, RMF from groot",depth from Tumber-Davila 2022,,,,
138,gmmolar.us,LEPIDIUM LASIOCARPUM,0.5,0.5,0,0,-0.5,-0.5,0,,,,,,,,,,,,,,,,,,,,
156,gmgranite.us,LEPIDIUM LASIOCARPUM,1,0.5,0,0,-0.5,-1,0.5,,,,,,,,,,,,,,,,,,,,
682,capwhite.us,LEPIDIUM LASIOCARPUM,9.714285714,5.714285714,0,0,-5.714285714,-9.714285714,4,,,,,,,,,,,,,,,,,,,,
823,ciempoz.es,LEPIDIUM SUBULATUM,16.40857143,15.48,15.94071429,12.93785714,-2.54214286,-0.46785714,-2.07428572,,0.3,,6.508870465,,,,,,,0.425531915,,,"height, SLA from Ciempoz PI",RMF from groot,,,,,
961,jilpanger.au,LEPIDOSPERMA CARPHOIDES,5,0,5,0.5,0.5,0,0.5,5.7,0.4,,2.685549483,0.28,,,,,,,,,leafN from TRY,"height, SLA from austraits",depth from Tumber-Davila 2022,,,,
53,jilpanger.au,LEPIDOSPERMA CONGESTUM,0.5,0.5,0.5,0.5,0,0,0,,0.33825,,2.737,,,,,,,,,,"height, SLA from austraits",,,,,,
751,cedartrait.us,LESPEDEZA CAPITATA,5.3,9,2.333333333,2.75,-6.25,-2.966666667,-3.283333333,19.09948702,0.842,31.172408,12.25680193,0.4572,0.228401178,79.00332954,0.333275,,0.18700225,0.337024703,0.18700225,79.00332954,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, depth, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,
1018,sand.us,LESPEDEZA PROCUMBENS,0,0,8,1,1,8,-7,,0.25,,15.64773251,,,,,,,,,,"height, SLA from CoREE",,,,,,
383,passogavia.it,LEUCANTHEMOPSIS ALPINA,2.302,1.38,0.844,0.46,-0.92,-1.458,0.538,26.16029667,0.035,,15.8,,,,1,,,,,,"height, SLA from TRY",leafN from Cerebolini 2010,diam from Pohl 2011,,,,
199,allmendb.ch,LEUCANTHEMUM VULGARE,1,0.75,1.375,1.5,0.75,0.375,0.375,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.178238532,205.5962002,0.23427,,,0.47391085,0.178238532,205.5962002,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,
610,rhijn.nl,LEUCANTHEMUM VULGARE,6,4,1,1,-3,-5,2,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.178238532,205.5962002,0.23427,,,0.47391085,0.178238532,205.5962002,"leafN, height, SLA, depth from TRY","rootN, RTD, SRL, diam, RMF from groot",,,,,
249,paike.ar,LEUCHERIA PURPUREA,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
1041,lygraold.no,LEUCOBRYUM GLAUCUM,0,0,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,
124,jilpanger.au,LEVENHOOKIA DUBIA,0.5,0.5,0.5,0,-0.5,0,-0.5,,0.043016318,,46.88127028,,,,,,,,,,"height, SLA from austraits",,,,,,
810,cedartrait.us,LIATRIS ASPERA,8.555555556,13.5,8.428571429,11.8,-1.7,-0.126984127,-1.573015873,12.33641253,0.68,20.498833,18.35069678,,0.135313282,193.6403191,0.335858333,103,0.10765675,0.328042296,0.10765675,193.6403191,"height from Catford, J. A., Smith, A. L., Wragg, P. D., Clark, A. T., Kosmala, M., Cavender-Bares, J., Reich, P. B. & Tilman, D. (2019) Traits linked with species invasiveness and community invasibility vary with time, stage and indicator of invasion in a long-term grassland experiment. Ecology Letters, 22, 593-604. doi 10.1111/ele.13220","leafN, SLA, RTD fine from TRY","rootN, RTD, SRL, diam, RMF from groot",SRL fine from Tjoelker 2005,,,
474,sand.us,LIATRIS COKERI,7,2,26,14,12,19,-7,,,,,,,,,,,,,,,,,,,,
1003,brookdale.ca,LIATRIS LIGULISTYLIS,0,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
